,provider_id,provider_name,year,total_avg_payment,payment_rank
0,370190,SOUTHWESTERN REGIONAL MEDICAL CENTER,2013,31357.124646461,1
1,150166,PINNACLE HOSPITAL,2011,25303.094215099998,2
2,130063,TREASURE VALLEY HOSPITAL,2012,20298.0180981,3
3,130063,TREASURE VALLEY HOSPITAL,2011,18969.18788,4
4,330399,ST BARNABAS HOSPITAL,2013,18873.066679245716,5
5,330399,ST BARNABAS HOSPITAL,2011,18712.571444972422,6
6,330009,BRONX-LEBANON HOSPITAL CENTER,2011,18538.556304795373,7
7,330059,MONTEFIORE MEDICAL CENTER,2012,18417.2491000954,8
8,100022,JACKSON MEMORIAL HOSPITAL,2012,18240.979562597757,9
9,100022,JACKSON MEMORIAL HOSPITAL,2011,18141.89832981187,10
10,330399,ST BARNABAS HOSPITAL,2012,17846.83110501202,11
11,330009,BRONX-LEBANON HOSPITAL CENTER,2012,17826.900209059102,12
12,330059,MONTEFIORE MEDICAL CENTER,2011,17630.91904158422,13
13,330059,MONTEFIORE MEDICAL CENTER,2013,17371.49877762424,14
14,330009,BRONX-LEBANON HOSPITAL CENTER,2013,17183.213671601683,15
15,280129,NEBRASKA ORTHOPAEDIC HOSPITAL,2011,15570.644375508,16
16,450834,"PHYSICIANS CENTRE,THE",2011,15297.585823385,17
17,50013,ST HELENA HOSPITAL,2013,15192.977778834866,18
18,280129,NEBRASKA ORTHOPAEDIC HOSPITAL,2012,14906.82253695,19
19,100022,JACKSON MEMORIAL HOSPITAL,2013,14768.747634986055,20
20,130063,TREASURE VALLEY HOSPITAL,2013,14683.145983566666,21
21,380056,SANTIAM MEMORIAL HOSPITAL,2013,14655.825456824,22
22,280133,"NEBRASKA SPINE HOSPITAL, LLC",2012,14437.1858689,23
23,280129,NEBRASKA ORTHOPAEDIC HOSPITAL,2013,14300.631716536,24
24,50013,ST HELENA HOSPITAL,2011,14075.130380378638,25
25,290051,SIERRA SURGERY HOSPITAL,2012,13996.462834923334,26
26,230132,HURLEY MEDICAL CENTER,2012,13937.538308602308,27
27,50013,ST HELENA HOSPITAL,2012,13928.103902413584,28
28,230132,HURLEY MEDICAL CENTER,2011,13873.58400210386,29
29,50009,QUEEN OF THE VALLEY MEDICAL CENTER,2013,13821.820621864643,30
30,460017,BRIGHAM CITY COMMUNITY HOSPITAL,2012,13686.718225451428,31
31,290051,SIERRA SURGERY HOSPITAL,2011,13636.212196593331,32
32,290051,SIERRA SURGERY HOSPITAL,2013,13584.867883535,33
33,100181,LARKIN COMMUNITY HOSPITAL,2013,13384.001667412434,34
34,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,2011,13279.02714319578,35
35,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,2012,12973.421112849697,36
36,50009,QUEEN OF THE VALLEY MEDICAL CENTER,2012,12834.847480761282,37
37,230132,HURLEY MEDICAL CENTER,2013,12829.96230949643,38
38,100128,TAMPA GENERAL HOSPITAL,2011,12511.349240287778,39
39,30107,ARIZONA SPINE AND JOINT HOSPITAL,2011,12511.0331009,40
40,280030,CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH,2011,12414.604665254932,41
41,100128,TAMPA GENERAL HOSPITAL,2012,12391.706992266958,42
42,380040,ST CHARLES MEDICAL CENTER - REDMOND,2012,12050.92113757905,43
43,50009,QUEEN OF THE VALLEY MEDICAL CENTER,2011,12048.926842254374,44
44,370232,MUSKOGEE COMMUNITY HOSPITAL,2011,11883.436323040814,45
45,390325,OSS ORTHOPAEDIC HOSPITAL,2012,11872.796064424167,46
46,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,2013,11837.085810105029,47
47,100009,UNIVERSITY OF MIAMI HOSPITAL,2012,11797.20778284871,48
48,100187,PALMETTO GENERAL HOSPITAL,2013,11717.743684874133,49
49,370210,"OKLAHOMA SURGICAL HOSPITAL, LLC",2011,11663.87810575,50
50,100034,MOUNT SINAI MEDICAL CENTER,2012,11587.217006177567,51
51,380040,ST CHARLES MEDICAL CENTER - REDMOND,2013,11585.670242362667,52
52,280030,ALEGENT CREIGHTON HEALTH CREIGHTON UNIVERSITY MEDI,2012,11565.196301306922,53
53,100008,BAPTIST HOSPITAL OF MIAMI INC,2011,11553.67064768123,54
54,100009,UNIVERSITY OF MIAMI HOSPITAL,2013,11551.836662445454,55
55,100009,UNIVERSITY OF MIAMI HOSPITAL,2011,11503.53607503189,56
56,100008,BAPTIST HOSPITAL OF MIAMI INC,2012,11442.951313704663,57
